Date,index,FX,GDP,CPI,RFR,UR,BOP,GFCF
09/10/06,22313.41992,11.067,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
10/10/06,22523.56055,11.013,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
11/10/06,22387.08008,10.9855,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
12/10/06,22661.82031,10.891,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
13/10/06,22848.32031,10.826,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
16/10/06,22950.17969,10.822,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
17/10/06,22799.41992,10.82,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
18/10/06,23012.86914,10.83,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
19/10/06,23168.51953,10.749,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
20/10/06,23233.48047,10.772,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
23/10/06,23321.41016,10.84,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
24/10/06,23279.76953,10.81,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
25/10/06,23397.68945,10.734,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
26/10/06,23361.41992,10.7155,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
27/10/06,22762.85938,10.658,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
30/10/06,22370.08984,10.7827,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
31/10/06,23046.94922,10.7453,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
01/11/06,23042.2793,10.8007,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
02/11/06,null,10.8552,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
03/11/06,23169.86914,10.755,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
06/11/06,23733.07031,10.794,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
07/11/06,23585.14063,10.81,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
08/11/06,23930.64063,10.818,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
09/11/06,23941.80078,10.917,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
10/11/06,23951.63086,10.868,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
13/11/06,24188.58984,10.8633,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
14/11/06,24288.06055,10.8408,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
15/11/06,24315.59961,10.8253,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
16/11/06,24266.0293,10.9002,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
17/11/06,24196.05078,10.919,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
20/11/06,null,10.972,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
21/11/06,24585.67969,10.942,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
22/11/06,24674.75,10.955,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
23/11/06,24730.00977,10.9633,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
24/11/06,24792.89063,10.974,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
27/11/06,24442.78906,11.0857,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
28/11/06,24344.94922,11.023,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
29/11/06,24776.08984,11,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
30/11/06,24962.00977,10.962,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
01/12/06,null,10.937,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
04/12/06,25207.48047,10.926,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
05/12/06,25593.91992,10.8565,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
06/12/06,25615.84961,10.827,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
07/12/06,25639.31055,10.881,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
08/12/06,25756.81055,10.802,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
11/12/06,25828.48047,10.787,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
12/12/06,null,10.836,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
13/12/06,25690.39063,10.8415,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
14/12/06,25863.39063,10.7697,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
15/12/06,25757.67969,10.72,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
18/12/06,25857.43945,10.8077,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
19/12/06,25621.5,10.8255,0.24935528,12.41749,7.6,3.885853,-0.317238,7.697085059
